delta,omega_g,omega_r,n
30,10.35114471,5.121757941,0.066174725
31,10.52413883,5.152038031,0.063858152
32,10.69457676,5.182995271,0.061809676
33,10.86253555,5.214589672,0.060001724
34,11.02809222,5.246777842,0.058410695
35,11.19132319,5.279513713,0.057016295
36,11.35230377,5.312749518,0.055801001
37,11.51110789,5.346436062,0.054749621
38,11.6678079,5.380523469,0.053848927
39,11.82247427,5.414961794,0.053087362
40,11.97517574,5.449700835,0.052454789
41,12.12597896,5.484691245,0.051942285
42,12.27494865,5.519884319,0.051541966
43,12.42214737,5.555232812,0.051246842
44,12.56763566,5.590690668,0.051050694
45,12.71147187,5.626213851,0.050947968
46,12.85371223,5.661760142,0.050933686
47,12.99441086,5.69728963,0.051003372
48,13.13361968,5.732764658,0.051152982
49,13.27138855,5.768149971,0.051378854
50,13.40776519,5.803412925,0.051677654
51,13.54279521,5.838523567,0.052046339
52,13.67652233,5.873454145,0.052482118
53,13.80898821,5.90817984,0.052982423
54,13.94023253,5.942678118,0.053544878
55,14.07029318,5.976929063,0.054167283
56,14.19920633,6.010914885,0.054847585
57,14.32700628,6.04462018,0.055583867
58,14.45372578,6.078031757,0.056374329
59,14.57939591,6.111138214,0.057217277
60,14.70404634,6.143930221,0.058111107
61,14.82770522,6.176400099,0.059054301
62,14.95039946,6.208541653,0.060045413
63,15.07215444,6.240350672,0.061083063
64,15.19299462,6.27182361,0.062165931
65,15.31294313,6.302958624,0.06329275
66,15.43202194,6.333755097,0.064462302
67,15.55025216,6.364213067,0.065673412
68,15.66765374,6.394333887,0.066924944
69,15.78424577,6.424119739,0.068215799
70,15.90004651,6.453573334,0.069544913
71,16.01507328,6.482698424,0.070911251
72,16.1293427,6.511499162,0.072313805
73,16.24287052,6.539980665,0.073751598
74,16.3556718,6.568148493,0.075223672
75,16.46776104,6.596008352,0.076729096
76,16.57915178,6.623567487,0.07826696
77,16.68985714,6.650832797,0.079836373
78,16.79988973,6.677811424,0.081436466
79,16.90926123,6.704512143,0.083066388
80,17.01798301,6.730943233,0.084725303
81,17.12606584,6.757113673,0.086412397
82,17.23351987,6.783033195,0.088126868
83,17.34035488,6.808711346,0.089867934
84,17.44657998,6.83415881,0.091634825
85,17.55220402,6.859386343,0.093426788
86,17.65723515,6.884405138,0.095243086
87,17.76168119,6.90922709,0.097082992
88,17.86554969,6.933863697,0.098945799
89,17.96884746,6.958328043,0.100830809
90,18.07158131,6.982632008,0.102737339
91,18.17375734,7.006789351,0.104664722
92,18.27538148,7.030813013,0.106612299
93,18.37645939,7.054716757,0.108579429
94,18.47699637,7.078513896,0.11056548
95,18.57699741,7.102218796,0.112569835
96,18.67646718,7.125845174,0.114591889
97,18.77541035,7.149407067,0.116631047
98,18.87383115,7.17291861,0.118686728
99,18.97173391,7.1963932,0.120758363
100,19.06912184,7.219846948,0.122845394
101,19.16600043,7.243288773,0.124947273
102,19.26237248,7.266734798,0.127063467
103,19.35824178,7.290196886,0.12919345
104,19.45361161,7.313690052,0.131336708
105,19.548486,7.337223556,0.13349274
106,19.64286843,7.36081038,0.135661052
107,19.73676228,7.384461793,0.137841162
108,19.83017132,7.408187741,0.140032599
109,19.9230992,7.431997835,0.142234898
110,20.01554957,7.455901429,0.144447609
111,20.10752621,7.479906657,0.146670286
112,20.19903267,7.504021981,0.148902496
113,20.29007324,7.528253163,0.151143813
114,20.38065181,7.552606379,0.153393821
115,20.47077229,7.577087741,0.15565211
116,20.5604392,7.601700554,0.157918282
117,20.64965618,7.626450375,0.160191944
118,20.73842943,7.651335092,0.162472713
119,20.82676189,7.676361048,0.164760212
120,20.91465864,7.701528402,0.167054073
121,21.00212512,7.7268361,0.169353936
122,21.08916586,7.752283404,0.171659446
123,21.17578595,7.777870259,0.173970257
124,21.26199061,7.803593913,0.17628603
125,21.34778514,7.829451769,0.178606431
126,21.43317516,7.855439584,0.180931136
127,21.51816584,7.881554401,0.183259824
128,21.60276297,7.907790878,0.185592184
129,21.68697204,7.93414391,0.187927909
130,21.77079875,7.960608213,0.190266699
131,21.85424877,7.987177593,0.192608261
132,21.93732785,8.013845932,0.194952307
133,22.02004173,8.040606662,0.197298557
134,22.10239609,8.067452723,0.199646735
135,22.18439663,8.094377379,0.201996572
136,22.26604896,8.121373644,0.204347805
137,22.34735877,8.148434266,0.206700177
138,22.42833164,8.175552122,0.209053435
139,22.50897288,8.202720288,0.211407334
140,22.58928815,8.229931305,0.213761634
141,22.66928242,8.25717872,0.2161161
142,22.74896131,8.284455079,0.218470502
143,22.82832972,8.311754322,0.220824618
144,22.90739276,8.339070011,0.223178228
145,22.98615514,8.366395399,0.225531121
146,23.06462182,8.393725049,0.227883087
147,23.14279746,8.421052527,0.230233924
148,23.22068669,8.448372836,0.232583435
149,23.29829384,8.475680442,0.234931428
