delta,omega_g,omega_r,n
30.0,9.684964827684135,6.383200117150157,0.18226438284540655
31.0,9.858127360050988,6.427379168907065,0.18108139675463322
32.0,10.029148855529353,6.470795479231739,0.18033977772619597
33.0,10.198036977386675,6.513528171014302,0.1799971012835167
34.0,10.364810266295994,6.555645027301617,0.18001620998717008
35.0,10.52949537737122,6.5972048367391585,0.18036439739240218
36.0,10.692124914461635,6.638259278656971,0.18101273628040823
37.0,10.852735639063416,6.678854463397311,0.18193552349004488
38.0,11.011367177280027,6.719032098079363,0.18310981927779946
39.0,11.168060857817077,6.758830491571497,0.18451506356561814
40.0,11.3228589293125,6.7982852298466785,0.18613275493996173
41.0,11.47580376395866,6.837430113480939,0.18794618104633318
42.0,11.62693760068406,6.876297107562557,0.18994019122309158
43.0,11.776301914594649,6.9149170172369185,0.19210100397692403
44.0,11.923937092125975,6.95332069816483,0.1944160432959945
45.0,12.069882540932515,6.9915373422493605,0.1968737989174606
46.0,12.214176236216153,7.029596256376666,0.19946370656195322
47.0,12.356854647418404,7.067526515017262,0.20217604486844884
48.0,12.497952757587502,7.10535707152257,0.20500184634586052
49.0,12.63750392227094,7.1431169491256155,0.20793282012856423
50.0,12.775539883380187,7.180835392380477,0.21096128470533773
51.0,12.912090679245917,7.218541859799757,0.21408010910376546
52.0,13.047184806490781,7.256265966449969,0.21728266126662807
53.0,13.180849061825437,7.294037818326613,0.22056276256498042
54.0,13.313108677312197,7.3318878526792135,0.22391464756566817
55.0,13.443987197919855,7.369847170678302,0.2273329283110794
56.0,13.573506690196295,7.407947048749248,0.23081256248705634
57.0,13.701687606244093,7.446219471727663,0.23434882495253448
58.0,13.828548868647395,7.484697104364347,0.2379372821833555
59.0,13.954107913533544,7.523413032758336,0.2415737692527359
60.0,14.078380850304718,7.5624008641606935,0.24525436902524683
61.0,14.201382098452264,7.601695224998634,0.24897539329027232
62.0,14.32312495435502,7.641330839105692,0.2527333655994993
63.0,14.443621183011777,7.681343467897936,0.2565250056084919
64.0,14.562881335867873,7.721769122387659,0.2603472147491986
65.0,14.680914743064005,7.762644364065727,0.2641970630872848
66.0,14.797729458243683,7.80400634270679,0.26807177723618547
67.0,14.913332436124,7.845892342127366,0.2719687292220345
68.0,15.02772959498674,7.888339936782882,0.2758854262057156
69.0,15.140925978902278,7.931386457297875,0.27981950098384695
70.0,15.252925646664867,7.9750693924772715,0.28376870320444014
71.0,15.363732004812697,8.019425506676985,0.28773089124086365
72.0,15.47334793377876,8.064490689241557,0.2917040246805877
73.0,15.581775868056322,8.110299869549449,0.2956861573915861
