delta,omega_g,omega_r,n
30.0,10.351145065518676,5.1217575072050385,0.06617472487623118
31.0,10.524138807597753,5.152038072816614,0.0638581518668823
32.0,10.694576746076972,5.182995291048952,0.061809676252202156
33.0,10.862535557161,5.214589660166535,0.06000172429479018
34.0,11.028092220168242,5.246777838441348,0.05841069469224763
35.0,11.191323187449834,5.27951373913029,0.0570162947616585
36.0,11.352303754377619,5.312749563653989,0.05580100143498797
37.0,11.511107890014301,5.346436076605457,0.054749620943355365
38.0,11.667807888924148,5.380523493567517,0.053848927053785224
39.0,11.822474283843592,5.414961750342487,0.05308736222316242
40.0,11.975175740816919,5.449700833036666,0.052454789452380905
41.0,12.125978978708549,5.48469119661949,0.051942285235663986
42.0,12.274948641710374,5.519884349238159,0.051541966004360715
43.0,12.422147363597933,5.555232823834979,0.05124684202004516
44.0,12.567635640547554,5.590690708826952,0.0510506938795031
45.0,12.711471884978788,5.626213790412223,0.05094796774078103
46.0,12.853712236210226,5.661760131934216,0.05093368612375676
47.0,12.99441085905952,5.697289635735644,0.05100337172842252
48.0,13.133619697788582,5.732764611313957,0.05115298218177747
49.0,13.271388552105268,5.768149960907808,0.05137885399852996
50.0,13.407765157068916,5.803413033037142,0.051677654340185716
51.0,13.542795227115374,5.8385235455413955,0.05204633940044631
52.0,13.676522342230724,5.873454157007622,0.05248211843877483
53.0,13.80898818815053,5.908179864706673,0.05298242264523765
54.0,13.940232516642356,5.942678157967142,0.05354487814832267
55.0,14.070293197351832,5.976929033563851,0.054167282586753226
56.0,14.199206333133962,6.010914863318714,0.054847584751399794
57.0,14.327006293818311,6.044620189090987,0.05558386688071657
58.0,14.453725768541522,6.078031761623505,0.05637432925046119
59.0,14.579395898300199,6.11113823729393,0.057217276752741665
60.0,14.704046305906893,6.143930292181293,0.05811110720057368
61.0,14.827705208693434,6.176400120385027,0.05905430113138128
62.0,14.95039940900471,6.208541751031237,0.06004541291431964
63.0,15.072154476132718,6.240350575628712,0.06108306299127278
64.0,15.192994625494466,6.27182360150031,0.06216593110599748
65.0,15.312943130977654,6.302958638037148,0.06329275039313992
66.0,15.43202192933004,6.333755139861651,0.06446230221742605
67.0,15.550252143493408,6.364213099328528,0.06567341166642233
68.0,15.667653736787406,6.394333911167491,0.06692494361375381
69.0,15.784245778649115,6.424119717011838,0.0682157992791552
70.0,15.900046527855967,6.4535732769807685,0.0695449132230604
71.0,16.015073279639754,6.482698426997507,0.07091125071933095
72.0,16.12934269083375,6.511499190754989,0.07231380545888283
73.0,16.24287053555202,6.539980618951553,0.07375159754148455
74.0,16.355671802384396,6.5681484683865765,0.07522367171912328
75.0,16.46776102095738,6.596008432162554,0.0767290958599039
76.0,16.579151742103196,6.623567594057856,0.07826695960281069
77.0,16.689857161585163,6.65083270757324,0.07983637318041338
78.0,16.79988973874493,6.677811421135995,0.08143646638770385
79.0,16.909261305463723,6.7045118678387,0.08306638767781822
80.0,17.01798301946852,6.730943184623077,0.08472530336919502
81.0,17.126065888552972,6.757113443087741,0.08641239694893177
82.0,17.23351983935991,6.783033240368719,0.08812686846073449
83.0,17.340354865748434,6.808711379716363,0.08986793396463534
84.0,17.44657999599279,6.834158829296882,0.09163482506145156
85.0,17.55220398496244,6.85938641962308,0.09342678846910253
86.0,17.657235126281176,6.884405250755666,0.09524308564848268
87.0,17.761681166426847,6.909227184334266,0.09708299246661703
88.0,17.86554967649465,6.933863849258055,0.09894579889459344
89.0,17.968847439719283,6.958328030800323,0.10083080873368068
90.0,18.071581243561447,6.982632208320631,0.1027373393648421
91.0,18.173757361319442,7.006789237941069,0.10466472151690509
92.0,18.275381512415397,7.030813057631732,0.10661229905006023
93.0,18.376459417070325,7.0547166699484,0.10857942875138653
94.0,18.476996346608146,7.078513979464861,0.11056548013824401
95.0,18.576997420372276,7.102218712621736,0.11256983526920841
96.0,18.67646719270552,7.125845138247935,0.11459188855687645
97.0,18.775410359983663,7.149407030703525,0.11663104658404264
98.0,18.873831213609048,7.17291843510463,0.11868672791940515
99.0,18.97173396099824,7.196393089238728,0.1207583629316946
100.0,19.069122554966516,7.219844868858959,0.12284539360286
101.0,19.166000908074963,7.243287232001193,0.12494727333669546
102.0,19.262372697441673,7.266733814211187,0.12706346676572058
103.0,19.358241693377224,7.290197580642416,0.12919344955273668
104.0,19.453611603460587,7.313689991050196,0.13133670819045778
