delta,omega_g,omega_r,n
30.0,2.921961896209877,11.0703281756456,0.05951198079155564
31.0,2.934477586063329,11.239465940814783,0.05677918828121257
32.0,2.947708573575306,11.406465512288847,0.05430224519337525
33.0,2.9616049390202837,11.571387850652643,0.052052239074569184
34.0,2.9761238748271444,11.73429148952703,0.050004346270434166
35.0,2.9912280704949707,11.895233113913374,0.048137158371264345
36.0,3.00688535780033,12.054267686799045,0.04643213439841284
37.0,3.0230670507140314,12.211447991569433,0.04487315267050434
38.0,3.039748116058111,12.366824755850104,0.043446142193820744
39.0,3.056905920626209,12.520447299324013,0.0421387778793842
40.0,3.0745201505315145,12.67236269536274,0.04094022728172164
41.0,3.0925724182933543,12.822616399253567,0.039840939153592866
42.0,3.111045933175942,12.971252309101569,0.03883246611777809
43.0,3.1299248898150975,13.118312448769625,0.03790731530874191
44.0,3.1491948167088943,13.263837510638504,0.03705882205622979
45.0,3.168841692691399,13.407866415327778,0.03628104263512021
46.0,3.188852802642149,13.550436944439777,0.035568662861329176
47.0,3.2092152309268167,13.691585342289553,0.034916919908568225
48.0,3.2299175703023977,13.831346536049505,0.03432153520607052
49.0,3.2509474025496377,13.969754317702819,0.03377865665026276
50.0,3.2722941752251664,14.10684116602089,0.03328480868174851
51.0,3.293945962626728,14.242638423150177,0.03283684902283011
52.0,3.315892346877023,14.377176540052174,0.03243193107593002
53.0,3.33812250312339,14.510484661025405,0.03206747114958244
54.0,3.3606256530535052,14.642591190274997,0.03174111981386454
55.0,3.383390476328765,14.773523519879683,0.03145073679762047
56.0,3.4064091692587226,14.903307933948883,0.031194368935807387
57.0,3.4296680996827362,15.031970242935635,0.03097023074691949
58.0,3.453159305648453,15.15953512206861,0.030776687287975384
59.0,3.4768717396515316,15.286026608811484,0.03061223898568806
60.0,3.50079569276029,15.41146796829262,0.030475508186022123
61.0,3.524920738129721,15.535881766670318,0.030365227204103555
62.0,3.5492373042902425,15.659289839055823,0.03028022768483569
63.0,3.573735455413035,15.781713384887578,0.030219431113484557
64.0,3.598405934725129,15.90317293571251,0.030181840335894727
