delta,omega_g,omega_r,n
30,11.09654813,2.803928766,0.039443255
31,11.2658326,2.808406261,0.037221778
32,11.43305191,2.813245508,0.035197452
33,11.5982605,2.818415843,0.033347575
34,11.76151169,2.823891529,0.031652638
35,11.9228581,2.829650603,0.030095793
36,12.08235107,2.835674785,0.028662438
37,12.24004083,2.841948339,0.027339863
38,12.39597612,2.848458087,0.026116962
39,12.55020428,2.855193063,0.024984001
40,12.70277113,2.86214412,0.023932416
41,12.85372104,2.86930374,0.022954652
42,13.00309689,2.876665531,0.022044019
43,13.15093998,2.884224762,0.02119458
44,13.29729031,2.891977462,0.02040105
45,13.44218629,2.899920675,0.019658712
46,13.58566517,2.908052207,0.018963348
47,13.72776259,2.916370608,0.018311173
48,13.86851302,2.924874977,0.017698786
49,14.00794956,2.933565162,0.017123122
50,14.14610423,2.942441457,0.016581417
51,14.28300776,2.951504299,0.016071167
52,14.41868979,2.960754929,0.015590107
53,14.55317885,2.970194471,0.015136179
54,14.68650243,2.979824798,0.014707509
55,14.81868701,2.989647905,0.014302395
56,14.94975803,2.999665647,0.013919278
57,15.07974011,3.009880647,0.013556739
58,15.20865695,3.020295249,0.013213475
59,15.33653138,3.030912295,0.012888294
60,15.46338542,3.041734296,0.012580101
61,15.58924032,3.052764194,0.012287891
62,15.71411648,3.064005221,0.012010739
63,15.83803379,3.075460075,0.011747792
64,15.96101125,3.087131837,0.011498264
65,16.08306739,3.099023454,0.011261429
66,16.20421987,3.111138264,0.011036617
67,16.32448605,3.123479154,0.010823208
68,16.44388247,3.136048861,0.010620627
69,16.56242533,3.148850474,0.010428343
70,16.68013008,3.161886966,0.010245861
71,16.79701187,3.175160819,0.010072723
72,16.91308527,3.188674759,0.009908505
73,17.02836449,3.202431312,0.009752811
74,17.14286321,3.216432846,0.009605273
75,17.25659471,3.230681563,0.009465549
76,17.36957195,3.245179296,0.009333321
77,17.48180752,3.259928134,0.009208293
78,17.59331353,3.274929645,0.009090187
79,17.70410184,3.290184851,0.008978748
80,17.81418408,3.305695322,0.008873734
81,17.92357136,3.321461921,0.008774923
82,18.03227463,3.33748511,0.008682107
83,18.14030462,3.353765366,0.00859509
84,18.24767171,3.370303055,0.008513692
85,18.35438599,3.387097687,0.008437744
86,18.46045736,3.404149094,0.008367089
87,18.56589552,3.421456128,0.008301581
88,18.67070981,3.439018118,0.008241084
89,18.77490972,3.456833588,0.00818547
90,18.87850403,3.474901167,0.008134623
91,18.98150171,3.493218416,0.008088432
92,19.08391139,3.511783552,0.008046796
93,19.18574157,3.530593795,0.008009621
94,19.28700057,3.549646358,0.00797682
95,19.38769652,3.568938377,0.007948312
96,19.4878374,3.588466473,0.007924023
97,19.58743109,3.608226818,0.007903885
98,19.68648531,3.628215441,0.007887835
99,19.7850076,3.648428326,0.007875816
100,19.88300519,3.66886103,0.007867773
101,19.98048574,3.689509026,0.007863661
102,20.07745643,3.710367502,0.007863434
103,20.173924,3.731431196,0.007867054
104,20.26989562,3.752695037,0.007874485
105,20.3653778,3.774153463,0.007885695
106,20.46037729,3.795800662,0.007900656
107,20.55490067,3.817631325,0.007919343
108,20.64895478,3.839639074,0.007941735
109,20.7425458,3.86181768,0.007967812
110,20.83567991,3.884161188,0.007997558
111,20.92836337,3.906663338,0.008030961
112,21.02060203,3.929317337,0.008068009
113,21.11240254,3.952118301,0.008108694
114,21.20377018,3.975057327,0.008153009
115,21.29471091,3.998128561,0.00820095
116,21.38523041,4.021325752,0.008252515
117,21.47533446,4.044641233,0.008307704
118,21.56502853,4.068068489,0.008366516
119,21.65431803,4.091601516,0.008428956
120,21.74320846,4.115232551,0.008495027
121,21.83170506,4.138954874,0.008564734
122,21.91981306,4.162762107,0.008638086
123,22.00753764,4.186646349,0.008715089
124,22.09488389,4.210601689,0.008795753
125,22.18185679,4.234621162,0.008880088
126,22.26846122,4.2586982,0.008968105
127,22.35470206,4.282826086,0.009059816
128,22.44058413,4.306997929,0.009155233
129,22.52611218,4.331207227,0.00925437
130,22.61129074,4.355447731,0.00935724
131,22.69612432,4.379713464,0.009463858
132,22.78061756,4.403997618,0.009574239
133,22.864775,4.428293469,0.009688398
134,22.94860074,4.452595894,0.009806351
135,23.03209922,4.476898606,0.009928112
136,23.11527462,4.501195906,0.0100537
137,23.19813119,4.525481726,0.010183129
138,23.28067297,4.549750036,0.010316416
139,23.36290404,4.573996446,0.010453578
140,23.44482828,4.598214907,0.010594631
141,23.52644965,4.622400294,0.010739591
142,23.6077721,4.646546509,0.010888475
143,23.68879928,4.67065011,0.011041299
144,23.76953505,4.69470507,0.011198079
145,23.84998293,4.718707312,0.011358832
146,23.93014657,4.742651643,0.011523572
147,24.01002964,4.766534001,0.011692315
148,24.0896357,4.790350059,0.011865077
149,24.16896787,4.814095108,0.012041873
