delta,omega,n
-1.1,0.538206634538941,0.8533734988179174
-1.0950000000000002,0.5291678101410318,0.8486228956283834
-1.09,0.520263471934749,0.8435880235022936
-1.0850000000000002,0.5099047187299915,0.8382312188369524
-1.08,0.4969711309046595,0.8324767417841283
-1.0750000000000002,0.4826662663093332,0.8262292891485599
-1.07,0.4699373713012023,0.81943762374827
-1.0650000000000002,0.45936000966513646,0.8121026297669358
-1.06,0.4497989617999899,0.8042202241056537
-1.0550000000000002,0.4399754515852874,0.7957486344415542
-1.05,0.42894271172919046,0.7865976033146713
-1.0450000000000002,0.4167442947711279,0.776637400602921
-1.04,0.4048325830458351,0.7657509119887043
-1.0350000000000001,0.3945743977258003,0.7538907703484584
-1.03,0.38607507428344456,0.7410633230744853
-1.0250000000000001,0.37881004207471775,0.7272808565950724
-1.02,0.37227914531976275,0.7125398614590641
-1.0150000000000001,0.36626007985241704,0.6968255767291764
-1.01,0.36089613456861713,0.6801355569283383
-1.0050000000000001,0.35661178267490246,0.662514405223811
-1.0,0.353835905439476,0.6440786813899465
-0.9950000000000001,0.35276359354349673,0.6250121655887265
-0.9900000000000001,0.35334341623876603,0.6055378795556908
-0.9850000000000001,0.3553902218108719,0.5858878530746017
-0.9800000000000001,0.3586821193386607,0.5662820237626597
-0.9750000000000001,0.3630079227523342,0.5469165191698842
-0.9700000000000001,0.36818262090875714,0.5279583140650254
-0.9650000000000001,0.37404897556281036,0.509543779433993
-0.9600000000000001,0.3804745823748167,0.4917795864098663
-0.9550000000000001,0.38734809660419306,0.4747450222845294
-0.9500000000000001,0.3945758088770939,0.45849509243044206
-0.9450000000000001,0.4020788101828715,0.4430639658245112
-0.9400000000000001,0.4097906904887062,0.42846845035823
-0.935,0.4176556521290654,0.41471128603619356
-0.93,0.42562693869834545,0.40178412690011794
-0.925,0.4336655011452681,0.3896701470840807
-0.92,0.44173885619899556,0.3783462535039995
-0.915,0.449820099046703,0.36778491921096196
-0.91,0.4578870522602604,0.3579556702498706
-0.905,0.4659215317584754,0.348826268140681
-0.9,0.4739087152022508,0.34036363277434023
-0.895,0.4818366026312842,0.33253454902193
-0.89,0.4896955565472195,0.3253061965133806
-0.885,0.49747791217807785,0.3186465371271711
-0.8800000000000001,0.5051776474895078,0.3125245895636264
-0.875,0.5127901060948145,0.3069106154379809
-0.8700000000000001,0.5203117640956262,0.30177623687970145
-0.865,0.527740034326228,0.29709450176365154
-0.86,0.5350731032518254,0.29283990943791427
-0.855,0.5423097941925356,0.2889884071133809
-0.8500000000000001,0.5494494532966845,0.2855173648792987
-0.845,0.556491854641431,0.2824055355340959
-0.8400000000000001,0.5634371207623846,0.27963300400501206
-0.835,0.5702856569891271,0.27718113000620914
-0.8300000000000001,0.5770380962632059,0.27503248670320957
-0.825,0.5836952537559128,0.2731707974582688
-0.8200000000000001,0.5902580886093649,0.27158087219427746
-0.815,0.5967276727522218,0.27024854449645197
-0.81,0.6031051644167288,0.2691606102509744
-0.8049999999999999,0.6093917868657172,0.26830476837267075
-0.8,0.6155888100074347,0.26766956398684205
-0.795,0.6216975359710086,0.26724433428883815
-0.79,0.627719286783847,0.2670191571983377
-0.785,0.6336553944645177,0.2669848028479472
-0.78,0.6395071925337833,0.26713268788698125
-0.775,0.6452760098186381,0.2674548325418067
-0.77,0.6509631647065793,0.267943820344252
-0.765,0.656569960874987,0.2685927604217659
-0.76,0.6620976840353685,0.26939525222982363
-0.755,0.6675475988523618,0.270345352601724
-0.75,0.6729209473143859,0.27143754498719186
-0.745,0.6782189466697454,0.2726667107523695
-0.74,0.6834427885670864,0.2740281024150347
-0.7350000000000001,0.6885936380672963,0.27551731869413415
-0.73,0.6936726332158408,0.27713028125558925
-0.7250000000000001,0.6986808845055076,0.27886321304343087
-0.72,0.703619475009062,0.2807126180897799
-0.7150000000000001,0.7084894603628406,0.2826752627037532
-0.71,0.7132918687507845,0.2847481579446995
-0.7050000000000001,0.7180277013040588,0.2869285432913814
-0.7,0.7226979324155632,0.2892138714241215
-0.6950000000000001,0.7273035101171925,0.29160179404230646
-0.69,0.7318453564234253,0.29409014864450295
-0.685,0.7363243679255217,0.29667694620430796
-0.6799999999999999,0.7407414163098586,0.29936035967805424
-0.675,0.7450973485184524,0.302138713286533
-0.67,0.7493929877913295,0.3050104725156492
-0.665,0.7536291336030589,0.3079742347855296
-0.66,0.7578065626076009,0.3110287207406888
-0.655,0.7619260288161502,0.3141727661174902
-0.65,0.7659882641794701,0.3174053141481705
-0.645,0.7699939791511299,0.3207254084632785
-0.64,0.7739438628342971,0.32413218645754405
-0.635,0.7778385836839617,0.32762487308623023
-0.63,0.7816787897407004,0.3312027750617373
-0.625,0.7854651089760304,0.3348652754217986
-0.6199999999999999,0.7891981496912817,0.33861182844346144
-0.615,0.7928785010187562,0.342441954877865
-0.6099999999999999,0.7965067329617598,0.34635523748334873
-0.605,0.8000833959613391,0.35035131683562876
