delta,omega,n
-1.4,3.0194707692521106,0.44847916747077265
-1.39,3.0151507203619,0.4422502940440226
-1.38,2.7850057363920873,0.4343924808886297
-1.3699999999999999,2.785020584031808,0.4258445865581254
-1.3599999999999999,2.7918076630961153,0.4176014267286138
-1.3499999999999999,2.8007652494401616,0.40972539035405775
-1.3399999999999999,2.8101043615320775,0.4022289029165995
-1.3299999999999998,2.8184019223399694,0.3950924689179533
-1.3199999999999998,2.8232719001229345,0.38826792966052703
-1.3099999999999998,2.8153542088000836,0.3816577960695254
-1.2999999999999998,2.594038344901296,0.37144517427489226
-1.29,2.597621870869122,0.36243424564516274
-1.28,2.603953523061988,0.35379225067856757
-1.27,2.6115155267194843,0.34557412075797694
-1.26,2.619320429235461,0.33780157122163706
-1.25,2.626326531757174,0.3304701607073305
-1.24,2.630239115847621,0.32354984794301095
-1.23,2.387699548249845,0.31375551197652357
-1.22,2.358111643494515,0.3042933690514932
-1.21,2.343558465915755,0.29506594245353684
-1.2,2.337646523333747,0.2862510998195099
-1.19,2.3318812592359204,0.27789652106433704
-1.18,2.321352977127675,0.2699805243418152
-1.17,2.300285908375503,0.2623963177533777
-1.16,2.051056008580028,0.2512654826997981
-1.15,2.0568488814107284,0.24169058592136944
-1.14,2.062988888736057,0.23262450441742782
-1.13,2.0688784125216677,0.22410451949775936
-1.1199999999999999,2.074080779602203,0.21616232748809952
-1.1099999999999999,2.0781861065184675,0.2088235587584101
-1.1,2.080600527689022,0.20210461288767764
-1.0899999999999999,2.079852877325675,0.1960063643964212
-1.08,1.5839431757796354,0.17804537036668344
-1.0699999999999998,1.5838880440603518,0.16987530029448347
-1.06,1.5834934390851778,0.16250720720278997
-1.0499999999999998,1.2721866752805469,0.14968735389015703
-1.04,1.2716706787186995,0.1412625107700823
-1.0299999999999998,1.2719569126735248,0.1342521878097561
-1.02,1.272867467295284,0.12860963469504252
-1.01,1.274504433231396,0.12428859161765123
-0.9999999999999999,1.2770416613739464,0.12125077021412105
-0.99,1.2805219024162262,0.11946950372611996
-0.98,1.2847596197408153,0.11893293152016692
-0.97,1.2894291406780847,0.1196479315831059
-0.96,1.2942592347032207,0.12164260777387487
-0.95,1.2992122246347657,0.12496383994141784
-0.94,1.61410875215397,0.13551673539365447
-0.9299999999999999,1.623089847362494,0.1383767310629954
-0.9199999999999999,1.631200824154472,0.14197515368555
-0.9099999999999999,1.6384984888272036,0.14632240021996634
-0.8999999999999999,1.6450701749129426,0.1514520905895812
-0.8899999999999999,1.6511978105184408,0.15741935112087913
-0.8799999999999999,1.6576241092210169,0.16429000600613305
-0.87,1.666335514189753,0.17211745534942272
-0.86,1.6864448080263108,0.18088395745839506
-0.85,1.9275280613606283,0.18529747056008342
-0.84,1.942176929230195,0.19227692015776604
-0.83,1.9570971768138556,0.19961470795748495
-0.82,1.974462943473634,0.20734756018283498
-0.8099999999999999,2.1745285303447592,0.21406041764794273
-0.8,2.17974386198661,0.22175119613447464
-0.79,2.1866045649167423,0.22997879421925785
-0.7799999999999999,2.1955282472461315,0.2386516675192722
-0.7699999999999999,2.2067403434304325,0.24764212282182377
-0.76,2.220540004934955,0.25682047958013754
-0.75,2.2380872171416892,0.2660966536132383
-0.74,2.267216150181572,0.2754363525269275
-0.73,2.459422614107243,0.28301902437640913
-0.72,2.458657893831502,0.2921323461734672
-0.71,2.459291466944973,0.30183286110936486
-0.7,2.462185643152,0.3120468553616641
-0.6900000000000001,2.4676223832288624,0.32263712454354315
-0.6799999999999999,2.4753123748870616,0.3334340243056652
-0.67,2.4845253871254998,0.34429150671358527
-0.6599999999999999,2.4942709839461537,0.3551470767201816
-0.6499999999999999,2.503494730529706,0.36605420769744296
-0.64,2.5114079986590387,0.37716617881911
-0.6299999999999999,2.518315634959274,0.388676367457121
-0.62,2.5287885147126707,0.40073956319859244
-0.61,2.682912991057572,0.4128960079069648
-0.5999999999999999,2.696485815606428,0.4251974227719756
-0.59,2.7070705534629944,0.4375840810634453
-0.58,2.7147841641536945,0.4498935301152095
-0.5700000000000001,2.718659526669781,0.4620800289960266
-0.5599999999999999,2.7177046947290893,0.47422676577677036
-0.55,2.711349198331151,0.4865043469157941
-0.54,2.6996416314535496,0.4991062135979531
-0.5299999999999999,2.6832260109516715,0.5121938600631919
-0.52,2.6632220987010435,0.525866320974456
-0.51,2.6411756113435843,0.5401505262763041
